"","Leto","Drzava","Prevozno_sredstvo","Delez"
"548",2013,"Greece","Passenger cars",81.3
"549",2013,"Greece","Motor coaches, buses and trolley buses",17.8
"550",2013,"Spain","Trains",6.1
"551",2013,"Spain","Passenger cars",80.7
"552",2013,"Spain","Motor coaches, buses and trolley buses",13.2
"553",2013,"France","Trains",10.5
"554",2013,"France","Passenger cars",81.4
"555",2013,"France","Motor coaches, buses and trolley buses",8.1
"556",2013,"Croatia","Trains",3.1
"557",2013,"Croatia","Passenger cars",85.5
"558",2013,"Croatia","Motor coaches, buses and trolley buses",11.5
"559",2013,"Italy","Trains",6.3
"560",2013,"Italy","Passenger cars",79.7
"561",2013,"Italy","Motor coaches, buses and trolley buses",14.1
"562",2013,"Latvia","Trains",4.7
"563",2013,"Latvia","Passenger cars",77.3
"564",2013,"Latvia","Motor coaches, buses and trolley buses",18
"565",2013,"Lithuania","Trains",0.8
"566",2013,"Lithuania","Passenger cars",91.4
"567",2013,"Lithuania","Motor coaches, buses and trolley buses",7.8
"568",2013,"Luxembourg","Trains",4.8
"569",2013,"Luxembourg","Passenger cars",82.8
"570",2013,"Luxembourg","Motor coaches, buses and trolley buses",12.4
"571",2013,"Hungary","Trains",10.2
"572",2013,"Hungary","Passenger cars",67.5
"573",2013,"Hungary","Motor coaches, buses and trolley buses",22.3
"574",2013,"Netherlands","Trains",11.3
"575",2013,"Netherlands","Passenger cars",86
"576",2013,"Netherlands","Motor coaches, buses and trolley buses",2.7
"577",2013,"Austria","Trains",12.2
"578",2013,"Austria","Passenger cars",77.5
"579",2013,"Austria","Motor coaches, buses and trolley buses",10.3
"580",2013,"Poland","Trains",6.7
"581",2013,"Poland","Passenger cars",78
"582",2013,"Poland","Motor coaches, buses and trolley buses",15.3
"583",2013,"Portugal","Trains",4
"584",2013,"Portugal","Passenger cars",89.4
"585",2013,"Portugal","Motor coaches, buses and trolley buses",6.6
"586",2013,"Romania","Trains",4.3
"587",2013,"Romania","Passenger cars",78.9
"588",2013,"Romania","Motor coaches, buses and trolley buses",16.8
"589",2013,"Slovenia","Trains",2.3
"590",2013,"Slovenia","Passenger cars",86.3
"591",2013,"Slovenia","Motor coaches, buses and trolley buses",11.4
"592",2013,"Slovakia","Trains",7.1
"593",2013,"Slovakia","Passenger cars",77.8
"594",2013,"Slovakia","Motor coaches, buses and trolley buses",15.1
"595",2013,"Finland","Trains",5.3
"596",2013,"Finland","Passenger cars",84.9
"597",2013,"Finland","Motor coaches, buses and trolley buses",9.8
"598",2013,"Sweden","Trains",9.1
"599",2013,"Sweden","Passenger cars",83.4
"600",2013,"Sweden","Motor coaches, buses and trolley buses",7.5
"601",2013,"United Kingdom","Trains",8.3
"602",2013,"United Kingdom","Passenger cars",86.1
"603",2013,"United Kingdom","Motor coaches, buses and trolley buses",5.6
"604",2013,"Norway","Trains",4.8
"605",2013,"Norway","Passenger cars",89.8
"606",2013,"Norway","Motor coaches, buses and trolley buses",5.5
"607",2013,"Switzerland","Trains",19.3
"608",2013,"Switzerland","Passenger cars",75
"609",2013,"Switzerland","Motor coaches, buses and trolley buses",5.7
"610",2014,"European Union (current composition)","Trains",7.8
"611",2014,"European Union (current composition)","Passenger cars",82.6
"612",2014,"European Union (current composition)","Motor coaches, buses and trolley buses",9.6
"613",2014,"Belgium","Trains",8.2
"614",2014,"Belgium","Passenger cars",80.4
"615",2014,"Belgium","Motor coaches, buses and trolley buses",11.4
"616",2014,"Bulgaria","Trains",2.6
"617",2014,"Bulgaria","Passenger cars",82.3
"618",2014,"Bulgaria","Motor coaches, buses and trolley buses",15.1
"619",2014,"Czechia","Trains",8.4
"620",2014,"Czechia","Passenger cars",73.1
"621",2014,"Czechia","Motor coaches, buses and trolley buses",18.5
"622",2014,"Denmark","Trains",9.7
"623",2014,"Denmark","Passenger cars",80.6
"624",2014,"Denmark","Motor coaches, buses and trolley buses",9.7
"625",2014,"Germany (until 1990 former territory of the FRG)","Trains",8.5
"626",2014,"Germany (until 1990 former territory of the FRG)","Passenger cars",85.8
"627",2014,"Germany (until 1990 former territory of the FRG)","Motor coaches, buses and trolley buses",5.8
"628",2014,"Estonia","Trains",1.9
"629",2014,"Estonia","Passenger cars",81.6
"630",2014,"Estonia","Motor coaches, buses and trolley buses",16.5
"631",2014,"Ireland","Trains",2.9
"632",2014,"Ireland","Passenger cars",79.8
"633",2014,"Ireland","Motor coaches, buses and trolley buses",17.3
"634",2014,"Greece","Trains",0.9
"635",2014,"Greece","Passenger cars",81.4
"636",2014,"Greece","Motor coaches, buses and trolley buses",17.7
"637",2014,"Spain","Trains",6.7
"638",2014,"Spain","Passenger cars",82.7
"639",2014,"Spain","Motor coaches, buses and trolley buses",10.6
"640",2014,"France","Trains",10.3
"641",2014,"France","Passenger cars",81.6
"642",2014,"France","Motor coaches, buses and trolley buses",8.1
"643",2014,"Croatia","Trains",3
"644",2014,"Croatia","Passenger cars",85.1
"645",2014,"Croatia","Motor coaches, buses and trolley buses",11.9
"646",2014,"Italy","Trains",6.2
"647",2014,"Italy","Passenger cars",80.1
"648",2014,"Italy","Motor coaches, buses and trolley buses",13.7
"649",2014,"Latvia","Trains",4
"650",2014,"Latvia","Passenger cars",79
"651",2014,"Latvia","Motor coaches, buses and trolley buses",17
"652",2014,"Lithuania","Trains",1
"653",2014,"Lithuania","Passenger cars",88.3
"654",2014,"Lithuania","Motor coaches, buses and trolley buses",10.8
"655",2014,"Luxembourg","Trains",4.3
"656",2014,"Luxembourg","Passenger cars",83.6
"657",2014,"Luxembourg","Motor coaches, buses and trolley buses",12.2
"658",2014,"Hungary","Trains",9.9
"659",2014,"Hungary","Passenger cars",67.5
"660",2014,"Hungary","Motor coaches, buses and trolley buses",22.6
"661",2014,"Netherlands","Trains",11.8
"662",2014,"Netherlands","Passenger cars",85.5
"663",2014,"Netherlands","Motor coaches, buses and trolley buses",2.7
"664",2014,"Austria","Trains",12.1
"665",2014,"Austria","Passenger cars",77.6
"666",2014,"Austria","Motor coaches, buses and trolley buses",10.3
"667",2014,"Poland","Trains",6.3
"668",2014,"Poland","Passenger cars",78.2
"669",2014,"Poland","Motor coaches, buses and trolley buses",15.5
"670",2014,"Portugal","Trains",4.1
"671",2014,"Portugal","Passenger cars",89.8
"672",2014,"Portugal","Motor coaches, buses and trolley buses",6.1
"673",2014,"Romania","Trains",4.6
"674",2014,"Romania","Passenger cars",78.5
"675",2014,"Romania","Motor coaches, buses and trolley buses",16.9
"676",2014,"Slovenia","Trains",2.1
"677",2014,"Slovenia","Passenger cars",86.3
"678",2014,"Slovenia","Motor coaches, buses and trolley buses",11.6
"679",2014,"Slovakia","Trains",7.3
"680",2014,"Slovakia","Passenger cars",77.4
"681",2014,"Slovakia","Motor coaches, buses and trolley buses",15.2
"682",2014,"Finland","Trains",5
"683",2014,"Finland","Passenger cars",85.2
"684",2014,"Finland","Motor coaches, buses and trolley buses",9.8
"685",2014,"Sweden","Trains",9.2
"686",2014,"Sweden","Passenger cars",83.5
"687",2014,"Sweden","Motor coaches, buses and trolley buses",7.3
"688",2014,"United Kingdom","Trains",8.5
"689",2014,"United Kingdom","Passenger cars",86.1
"690",2014,"United Kingdom","Motor coaches, buses and trolley buses",5.4
"691",2014,"Norway","Trains",4.9
"692",2014,"Norway","Passenger cars",89.8
"693",2014,"Norway","Motor coaches, buses and trolley buses",5.4
"694",2014,"Switzerland","Trains",19.6
"695",2014,"Switzerland","Passenger cars",74.6
"696",2014,"Switzerland","Motor coaches, buses and trolley buses",5.8
"697",2015,"European Union (current composition)","Trains",7.8
"698",2015,"European Union (current composition)","Passenger cars",82.7
"699",2015,"European Union (current composition)","Motor coaches, buses and trolley buses",9.5
"700",2015,"Belgium","Trains",7.8
"701",2015,"Belgium","Passenger cars",81.2
"702",2015,"Belgium","Motor coaches, buses and trolley buses",10.9
"703",2015,"Bulgaria","Trains",2.3
"704",2015,"Bulgaria","Passenger cars",83.1
"705",2015,"Bulgaria","Motor coaches, buses and trolley buses",14.6
"706",2015,"Czechia","Trains",8.6
"707",2015,"Czechia","Passenger cars",74.1
"708",2015,"Czechia","Motor coaches, buses and trolley buses",17.3
"709",2015,"Denmark","Trains",9.3
"710",2015,"Denmark","Passenger cars",80.9
"711",2015,"Denmark","Motor coaches, buses and trolley buses",9.8
"712",2015,"Germany (until 1990 former territory of the FRG)","Trains",8.4
"713",2015,"Germany (until 1990 former territory of the FRG)","Passenger cars",85.7
"714",2015,"Germany (until 1990 former territory of the FRG)","Motor coaches, buses and trolley buses",6
"715",2015,"Estonia","Trains",1.8
"716",2015,"Estonia","Passenger cars",78.2
"717",2015,"Estonia","Motor coaches, buses and trolley buses",20
"718",2015,"Ireland","Trains",3
"719",2015,"Ireland","Passenger cars",80.4
"720",2015,"Ireland","Motor coaches, buses and trolley buses",16.7
"721",2015,"Greece","Trains",1
"722",2015,"Greece","Passenger cars",81.4
"723",2015,"Greece","Motor coaches, buses and trolley buses",17.5
"724",2015,"Spain","Trains",6.7
"725",2015,"Spain","Passenger cars",81.4
"726",2015,"Spain","Motor coaches, buses and trolley buses",11.9
"727",2015,"France","Trains",10.3
"728",2015,"France","Passenger cars",81.6
"729",2015,"France","Motor coaches, buses and trolley buses",8
"730",2015,"Croatia","Trains",3.1
"731",2015,"Croatia","Passenger cars",85.9
"732",2015,"Croatia","Motor coaches, buses and trolley buses",11
"733",2015,"Italy","Trains",6.3
"734",2015,"Italy","Passenger cars",81.4
"735",2015,"Italy","Motor coaches, buses and trolley buses",12.3
"736",2015,"Latvia","Trains",3.5
"737",2015,"Latvia","Passenger cars",80.7
"738",2015,"Latvia","Motor coaches, buses and trolley buses",15.8
"739",2015,"Lithuania","Trains",0.9
"740",2015,"Lithuania","Passenger cars",89.2
"741",2015,"Lithuania","Motor coaches, buses and trolley buses",9.9
"742",2015,"Luxembourg","Trains",4.7
"743",2015,"Luxembourg","Passenger cars",82.9
"744",2015,"Luxembourg","Motor coaches, buses and trolley buses",12.4
"745",2015,"Hungary","Trains",9.5
"746",2015,"Hungary","Passenger cars",68.2
"747",2015,"Hungary","Motor coaches, buses and trolley buses",22.3
"748",2015,"Netherlands","Trains",10.8
"749",2015,"Netherlands","Passenger cars",86.1
"750",2015,"Netherlands","Motor coaches, buses and trolley buses",3
"751",2015,"Austria","Trains",12
"752",2015,"Austria","Passenger cars",77.8
"753",2015,"Austria","Motor coaches, buses and trolley buses",10.2
"754",2015,"Poland","Trains",6.8
"755",2015,"Poland","Passenger cars",78.5
"756",2015,"Poland","Motor coaches, buses and trolley buses",14.7
"757",2015,"Portugal","Trains",4.2
"758",2015,"Portugal","Passenger cars",89.6
"759",2015,"Portugal","Motor coaches, buses and trolley buses",6.2
"760",2015,"Romania","Trains",4.6
"761",2015,"Romania","Passenger cars",79.9
"762",2015,"Romania","Motor coaches, buses and trolley buses",15.5
"763",2015,"Slovenia","Trains",2.1
"764",2015,"Slovenia","Passenger cars",86.1
"765",2015,"Slovenia","Motor coaches, buses and trolley buses",11.8
"766",2015,"Slovakia","Trains",9.4
"767",2015,"Slovakia","Passenger cars",75.8
"768",2015,"Slovakia","Motor coaches, buses and trolley buses",14.8
"769",2015,"Finland","Trains",5.3
"770",2015,"Finland","Passenger cars",85
"771",2015,"Finland","Motor coaches, buses and trolley buses",9.7
"772",2015,"Sweden","Trains",9.5
"773",2015,"Sweden","Passenger cars",83.2
"774",2015,"Sweden","Motor coaches, buses and trolley buses",7.3
"775",2015,"United Kingdom","Trains",8.7
"776",2015,"United Kingdom","Passenger cars",85.9
"777",2015,"United Kingdom","Motor coaches, buses and trolley buses",5.4
"778",2015,"Norway","Trains",4.9
"779",2015,"Norway","Passenger cars",89.4
"780",2015,"Norway","Motor coaches, buses and trolley buses",5.7
"781",2015,"Switzerland","Trains",19.8
"782",2015,"Switzerland","Passenger cars",74.4
"783",2015,"Switzerland","Motor coaches, buses and trolley buses",5.9
"784",2016,"European Union (current composition)","Trains",7.7
"785",2016,"European Union (current composition)","Passenger cars",82.9
"786",2016,"European Union (current composition)","Motor coaches, buses and trolley buses",9.4
"787",2016,"Belgium","Trains",7.7
"788",2016,"Belgium","Passenger cars",81.8
"789",2016,"Belgium","Motor coaches, buses and trolley buses",10.5
"790",2016,"Bulgaria","Trains",2.2
"791",2016,"Bulgaria","Passenger cars",83.7
"792",2016,"Bulgaria","Motor coaches, buses and trolley buses",14.1
"793",2016,"Czechia","Trains",8.9
"794",2016,"Czechia","Passenger cars",74
"795",2016,"Czechia","Motor coaches, buses and trolley buses",17.1
"796",2016,"Denmark","Trains",8.6
"797",2016,"Denmark","Passenger cars",81.6
"798",2016,"Denmark","Motor coaches, buses and trolley buses",9.8
"799",2016,"Germany (until 1990 former territory of the FRG)","Trains",8.6
"800",2016,"Germany (until 1990 former territory of the FRG)","Passenger cars",85.7
"801",2016,"Germany (until 1990 former territory of the FRG)","Motor coaches, buses and trolley buses",5.8
"802",2016,"Estonia","Trains",2
"803",2016,"Estonia","Passenger cars",80.1
"804",2016,"Estonia","Motor coaches, buses and trolley buses",17.9
"805",2016,"Ireland","Trains",2.9
"806",2016,"Ireland","Passenger cars",79.9
"807",2016,"Ireland","Motor coaches, buses and trolley buses",17.2
"808",2016,"Greece","Trains",1
"809",2016,"Greece","Passenger cars",81.9
"810",2016,"Greece","Motor coaches, buses and trolley buses",17.1
"811",2016,"Spain","Trains",6.6
"812",2016,"Spain","Passenger cars",81.6
"813",2016,"Spain","Motor coaches, buses and trolley buses",11.8
"814",2016,"France","Trains",9.7
"815",2016,"France","Passenger cars",81.5
"816",2016,"France","Motor coaches, buses and trolley buses",8.8
"817",2016,"Croatia","Trains",2.7
"818",2016,"Croatia","Passenger cars",85
"819",2016,"Croatia","Motor coaches, buses and trolley buses",12.3
"820",2016,"Italy","Trains",6.1
"821",2016,"Italy","Passenger cars",81.9
"822",2016,"Italy","Motor coaches, buses and trolley buses",12
"823",2016,"Latvia","Trains",3.4
"824",2016,"Latvia","Passenger cars",81.5
"825",2016,"Latvia","Motor coaches, buses and trolley buses",15.1
"826",2016,"Lithuania","Trains",1
"827",2016,"Lithuania","Passenger cars",89.9
"828",2016,"Lithuania","Motor coaches, buses and trolley buses",9.1
"829",2016,"Luxembourg","Trains",4.6
"830",2016,"Luxembourg","Passenger cars",83.1
"831",2016,"Luxembourg","Motor coaches, buses and trolley buses",12.3
"832",2016,"Hungary","Trains",9.3
"833",2016,"Hungary","Passenger cars",69
"834",2016,"Hungary","Motor coaches, buses and trolley buses",21.7
"835",2016,"Netherlands","Trains",11
"836",2016,"Netherlands","Passenger cars",86
"837",2016,"Netherlands","Motor coaches, buses and trolley buses",3
"838",2016,"Austria","Trains",12.1
"839",2016,"Austria","Passenger cars",77.7
"840",2016,"Austria","Motor coaches, buses and trolley buses",10.2
"841",2016,"Poland","Trains",7.3
"842",2016,"Poland","Passenger cars",78.5
"843",2016,"Poland","Motor coaches, buses and trolley buses",14.2
"844",2016,"Portugal","Trains",4.2
"845",2016,"Portugal","Passenger cars",89.1
"846",2016,"Portugal","Motor coaches, buses and trolley buses",6.7
"847",2016,"Romania","Trains",4.2
"848",2016,"Romania","Passenger cars",80.1
"849",2016,"Romania","Motor coaches, buses and trolley buses",15.7
"850",2016,"Slovenia","Trains",2
"851",2016,"Slovenia","Passenger cars",86.3
"852",2016,"Slovenia","Motor coaches, buses and trolley buses",11.8
"853",2016,"Slovakia","Trains",9.4
"854",2016,"Slovakia","Passenger cars",74.8
"855",2016,"Slovakia","Motor coaches, buses and trolley buses",15.8
"856",2016,"Finland","Trains",5.6
"857",2016,"Finland","Passenger cars",82.5
"858",2016,"Finland","Motor coaches, buses and trolley buses",11.9
"859",2016,"Sweden","Trains",9.3
"860",2016,"Sweden","Passenger cars",83.5
"861",2016,"Sweden","Motor coaches, buses and trolley buses",7.2
"862",2016,"United Kingdom","Trains",8.8
"863",2016,"United Kingdom","Passenger cars",86.5
"864",2016,"United Kingdom","Motor coaches, buses and trolley buses",4.6
"865",2016,"Norway","Trains",5.1
"866",2016,"Norway","Passenger cars",89
"867",2016,"Norway","Motor coaches, buses and trolley buses",5.9
"868",2016,"Switzerland","Trains",19.8
"869",2016,"Switzerland","Passenger cars",74.3
"870",2016,"Switzerland","Motor coaches, buses and trolley buses",5.9
