"Povpreène meseène plaèe po: STATISTIÈNA REGIJA, SKD DEJAVNOST, MESEC,"
"PLAÈE , MERITVE"

" ";" ";" ";"Bruto plaèa";" ";" ";" ";" ";" ";" ";" ";" ";"Neto plaèa";" ";" ";" ";" ";" ";" ";" ";" "
" ";" ";" ";"Plaèa za mesec [EUR]";"Plaèa za obdobje [EUR]";"Izredna izplaèila [za vse zaposlene osebe] [EUR]";"Izredna izplaèila [EUR]";"Plaèa za plaèano uro za mesec [EUR]";"Plaèa za plaèano uro za obdobje [EUR]";"Tekoèi mesec / prejšnji mesec";"Tekoèi mesec / isti mesec prejšnjega leta";"Povpreèje mesecev tekoèega leta / povpreèje istih mesecev prejšnjega leta";"Plaèa za mesec [EUR]";"Plaèa za obdobje [EUR]";"Izredna izplaèila [za vse zaposlene osebe] [EUR]";"Izredna izplaèila [EUR]";"Plaèa za plaèano uro za mesec [EUR]";"Plaèa za plaèano uro za obdobje [EUR]";"Tekoèi mesec / prejšnji mesec";"Tekoèi mesec / isti mesec prejšnjega leta";"Povpreèje mesecev tekoèega leta / povpreèje istih mesecev prejšnjega leta"
"SLOVENIJA"
" ";" ";"2010";1417.49;1417.49;0.31;21.50;8.90;8.90;84.10;106.00;106.00;925.10;925.10;-;-;5.81;5.81;84.60;105.50;105.50
" ";" ";"2011";1500.59;1500.59;-;-;9.26;9.26;93.60;105.90;105.90;977.31;977.31;-;-;6.03;6.03;94.30;105.60;105.60
" ";" ";"2012";1526.49;1526.49;26.32;2112.25;9.47;9.47;95.20;101.70;101.70;988.76;988.76;-;-;6.13;6.13;98.20;101.20;101.20
" ";" ";"2013";1614.64;1614.64;-;-;9.37;9.37;102.20;105.80;105.80;1066.01;1066.01;-;-;6.18;6.18;102.10;107.80;107.80
" ";" ";"2014";1470.71;1470.71;-;-;8.58;8.58;98.60;91.10;91.10;964.35;964.35;-;-;5.63;5.63;98.50;90.50;90.50
" ";" ";"2015";1472.96;1472.96;-;-;8.90;8.90;96.10;100.20;100.20;966.50;966.50;-;-;5.84;5.84;97.90;100.20;100.20
" ";"N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI"
" ";" ";"2005";1015.04;1015.04;-;-;6.79;6.79;74.00;107.00;107.00;653.61;653.61;-;-;4.37;4.37;72.90;106.80;106.80
" ";" ";"2006";988.57;988.57;-;-;5.90;5.90;81.70;97.40;97.40;647.36;647.36;-;-;3.86;3.86;82.80;99.00;99.00
" ";" ";"2007";1123.93;1123.93;-;-;6.58;6.58;104.00;113.70;113.70;740.45;740.45;-;-;4.33;4.33;103.50;114.40;114.40
" ";" ";"2008";1242.89;1242.89;-;-;7.54;7.54;105.60;110.60;110.60;787.96;787.96;-;-;4.78;4.78;101.10;106.40;106.40
" ";" ";"2009";1284.96;1284.96;-;-;7.80;7.80;108.40;103.40;103.40;842.42;842.42;-;-;5.12;5.12;107.10;106.90;106.90
" ";" ";"2010";1209.31;1209.31;-;-;7.65;7.65;93.70;94.10;94.10;803.46;803.46;-;-;5.09;5.09;94.90;95.40;95.40
" ";" ";"2011";1232.28;1232.28;-;-;7.90;7.90;94.80;101.90;101.90;818.12;818.12;-;-;5.25;5.25;95.40;101.80;101.80
" ";" ";"2012";1358.37;1358.37;-;-;8.19;8.19;99.40;110.20;110.20;894.48;894.48;-;-;5.39;5.39;99.50;109.30;109.30
" ";" ";"2013";1359.47;1359.47;-;-;8.04;8.04;105.30;100.10;100.10;897.33;897.33;-;-;5.31;5.31;105.10;100.30;100.30
" ";" ";"2014";1359.59;1359.59;-;-;7.89;7.89;99.20;100.00;100.00;895.89;895.89;-;-;5.20;5.20;99.80;99.80;99.80
" ";" ";"2015";1299.95;1299.95;-;-;7.95;7.95;92.50;95.60;95.60;861.33;861.33;-;-;5.27;5.27;92.80;96.10;96.10
" ";"O DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI"
" ";" ";"2005";1115.81;1115.81;-;-;6.78;6.78;97.80;94.20;94.20;732.61;732.61;-;-;4.45;4.45;98.10;96.30;96.30
" ";" ";"2006";1186.72;1186.72;-;-;6.93;6.93;98.70;106.40;106.40;776.43;776.43;-;-;4.53;4.53;99.20;106.00;106.00
" ";" ";"2007";1255.72;1255.72;-;-;7.09;7.09;99.90;105.80;105.80;840.75;840.75;-;-;4.75;4.75;100.10;108.30;108.30
" ";" ";"2008";1293.42;1293.42;-;-;7.27;7.27;99.90;103.00;103.00;865.48;865.48;-;-;4.86;4.86;100.30;102.90;102.90
" ";" ";"2009";1543.87;1543.87;-;-;9.07;9.07;102.60;119.40;119.40;1015.35;1015.35;-;-;5.97;5.97;102.40;117.30;117.30
" ";" ";"2010";1524.42;1524.42;0.68;13.84;9.40;9.40;98.60;98.70;98.70;1005.12;1005.12;-;-;6.20;6.20;98.70;99.00;99.00
" ";" ";"2011";1555.87;1555.87;4.28;92.43;9.63;9.63;99.20;102.10;102.10;1022.23;1022.23;-;-;6.32;6.32;99.20;101.70;101.70
" ";" ";"2012";1615.52;1615.52;-;-;9.57;9.57;100.80;103.80;103.80;1061.01;1061.01;-;-;6.29;6.29;100.20;103.80;103.80
" ";" ";"2013";1574.79;1574.79;-;-;8.92;8.92;100.60;97.50;97.50;1052.74;1052.74;-;-;5.96;5.96;100.50;99.20;99.20
" ";" ";"2014";1557.02;1557.02;-;-;8.80;8.80;99.30;98.90;98.90;1045.17;1045.17;-;-;5.91;5.91;99.50;99.30;99.30
" ";" ";"2015";1546.44;1546.44;-;-;9.04;9.04;99.10;99.30;99.30;1032.80;1032.80;-;-;6.04;6.04;99.20;98.80;98.80
" ";"P IZOBRAŽEVANJE"
" ";" ";"2005";1265.65;1265.65;-;-;7.75;7.75;96.90;104.40;104.40;811.60;811.60;-;-;4.97;4.97;96.90;104.80;104.80
" ";" ";"2006";1364.17;1364.17;-;-;8.35;8.35;98.40;107.80;107.80;869.95;869.95;-;-;5.33;5.33;98.90;107.20;107.20
" ";" ";"2007";1412.31;1412.31;-;-;8.36;8.36;97.60;103.50;103.50;931.41;931.41;-;-;5.51;5.51;97.90;107.10;107.10
" ";" ";"2008";1458.50;1458.50;-;-;8.70;8.70;99.20;103.30;103.30;962.80;962.80;-;-;5.74;5.74;99.20;103.40;103.40
" ";" ";"2009";1636.15;1636.15;4.38;24.00;9.99;9.99;98.70;112.20;112.20;1066.25;1066.25;-;-;6.51;6.51;98.60;110.70;110.70
" ";" ";"2010";1613.52;1613.52;0.07;1.43;10.30;10.30;100.30;98.60;98.60;1052.98;1052.98;-;-;6.72;6.72;100.50;98.80;98.80
" ";" ";"2011";1617.65;1617.65;1.32;15.74;10.33;10.33;100.30;100.30;100.30;1056.83;1056.83;-;-;6.75;6.75;100.30;100.40;100.40
" ";" ";"2012";1618.59;1618.59;0.64;13.73;9.87;9.87;99.10;100.10;100.10;1060.65;1060.65;-;-;6.47;6.47;99.20;100.40;100.40
" ";" ";"2013";1508.94;1508.94;0.07;1.61;8.92;8.92;99.10;93.20;93.20;1010.81;1010.81;-;-;5.97;5.97;99.00;95.30;95.30
" ";" ";"2014";1520.32;1520.32;0.35;7.87;8.93;8.93;101.00;100.80;100.80;1011.45;1011.45;-;-;5.94;5.94;100.70;100.10;100.10
" ";" ";"2015";1536.75;1536.75;37.55;237.15;9.33;9.33;101.00;101.10;101.10;1029.24;1029.24;-;-;6.25;6.25;101.40;101.80;101.80
" ";"Q ZDRAVSTVO IN SOCIALNO VARSTVO"
" ";" ";"2005";1242.68;1242.68;-;-;7.25;7.25;93.70;105.60;105.60;798.60;798.60;-;-;4.66;4.66;94.00;107.70;107.70
" ";" ";"2006";1227.92;1227.92;-;-;7.01;7.01;98.00;98.80;98.80;795.09;795.09;-;-;4.54;4.54;98.20;99.60;99.60
" ";" ";"2007";1256.37;1256.37;-;-;7.04;7.04;98.60;102.30;102.30;834.00;834.00;-;-;4.67;4.67;99.40;104.90;104.90
" ";" ";"2008";1306.97;1306.97;-;-;7.39;7.39;101.20;104.00;104.00;864.71;864.71;-;-;4.89;4.89;101.40;103.70;103.70
" ";" ";"2009";1616.17;1616.17;26.94;168.49;9.52;9.52;102.00;123.70;123.70;1038.54;1038.54;-;-;6.12;6.12;101.70;120.10;120.10
" ";" ";"2010";1630.08;1630.08;7.10;70.07;9.72;9.72;101.20;100.90;100.90;1048.74;1048.74;-;-;6.26;6.26;100.80;101.00;101.00
" ";" ";"2011";1595.29;1595.29;1.59;79.79;9.54;9.54;101.00;97.90;97.90;1030.81;1030.81;-;-;6.17;6.17;100.90;98.30;98.30
" ";" ";"2012";1583.04;1583.04;-;-;9.26;9.26;100.30;99.20;99.20;1027.32;1027.32;-;-;6.01;6.01;100.30;99.70;99.70
" ";" ";"2013";1548.22;1548.22;-;-;8.80;8.80;95.20;97.80;97.80;1013.71;1013.71;-;-;5.76;5.76;95.90;98.70;98.70
" ";" ";"2014";1534.20;1534.20;-;-;8.82;8.82;96.30;99.10;99.10;1039.13;1039.13;-;-;5.98;5.98;99.90;102.50;102.50
" ";" ";"2015";1528.05;1528.05;-;-;9.10;9.10;98.10;99.60;99.60;1002.28;1002.28;-;-;5.97;5.97;97.40;96.50;96.50
" ";"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI"
" ";" ";"2005";1268.51;1268.51;-;-;7.46;7.46;97.40;107.90;107.90;803.84;803.84;-;-;4.73;4.73;96.20;108.90;108.90
" ";" ";"2006";1305.59;1305.59;-;-;7.54;7.54;99.10;102.90;102.90;840.31;840.31;-;-;4.85;4.85;101.90;104.50;104.50
" ";" ";"2007";1356.16;1356.16;-;-;7.61;7.61;99.10;103.90;103.90;884.22;884.22;-;-;4.96;4.96;98.80;105.20;105.20
" ";" ";"2008";1302.04;1302.04;-;-;7.31;7.31;92.40;96.00;96.00;862.62;862.62;-;-;4.84;4.84;91.60;97.60;97.60
" ";" ";"2009";1475.83;1475.83;-;-;9.01;9.01;95.80;113.30;113.30;956.49;956.49;-;-;5.84;5.84;96.70;110.90;110.90
" ";" ";"2010";1554.79;1554.79;54.58;282.82;9.59;9.59;103.30;105.40;105.40;997.58;997.58;-;-;6.15;6.15;102.30;104.30;104.30
" ";" ";"2011";1515.03;1515.03;-;-;9.13;9.13;98.80;97.40;97.40;989.84;989.84;-;-;5.97;5.97;99.00;99.20;99.20
" ";" ";"2012";1443.37;1443.37;9.91;38.21;8.58;8.58;100.10;95.30;95.30;946.30;946.30;-;-;5.63;5.63;99.80;95.60;95.60
" ";" ";"2013";1419.65;1419.65;-;-;8.15;8.15;100.10;98.40;98.40;961.10;961.10;-;-;5.52;5.52;100.60;101.60;101.60
" ";" ";"2014";1411.20;1411.20;-;-;8.07;8.07;100.80;99.40;99.40;943.86;943.86;-;-;5.40;5.40;100.40;98.20;98.20
" ";" ";"2015";1308.13;1308.13;-;-;8.01;8.01;100.00;92.70;92.70;882.23;882.23;-;-;5.40;5.40;100.60;93.50;93.50
" ";"S DRUGE DEJAVNOSTI"
" ";" ";"2005";1012.41;1012.41;-;-;6.05;6.05;88.30;101.20;101.20;637.64;637.64;-;-;3.81;3.81;89.80;101.40;101.40
" ";" ";"2006";1053.44;1053.44;-;-;6.54;6.54;98.70;104.10;104.10;674.78;674.78;-;-;4.19;4.19;99.90;105.80;105.80
" ";" ";"2007";885.87;885.87;-;-;5.25;5.25;91.20;84.10;84.10;596.20;596.20;-;-;3.53;3.53;91.70;88.40;88.40
" ";" ";"2008";676.78;676.78;-;-;4.20;4.20;92.20;76.40;76.40;481.45;481.45;-;-;2.99;2.99;94.40;80.80;80.80
" ";" ";"2009";950.67;950.67;-;-;6.59;6.59;84.50;140.50;140.50;631.98;631.98;-;-;4.38;4.38;85.90;131.30;131.30
" ";" ";"2010";1075.93;1075.93;-;-;6.74;6.74;104.20;113.20;113.20;723.17;723.17;-;-;4.53;4.53;103.70;114.40;114.40
" ";" ";"2011";1164.89;1164.89;-;-;7.06;7.06;92.50;108.30;108.30;793.72;793.72;-;-;4.81;4.81;94.70;109.80;109.80
" ";" ";"2012";1144.34;1144.34;-;-;7.03;7.03;100.80;98.20;98.20;778.21;778.21;-;-;4.78;4.78;100.70;98.00;98.00
" ";" ";"2013";1212.22;1212.22;-;-;7.38;7.38;102.80;105.90;105.90;819.39;819.39;-;-;4.99;4.99;102.70;105.30;105.30
" ";" ";"2014";1293.72;1293.72;-;-;7.71;7.71;109.80;106.70;106.70;859.26;859.26;-;-;5.12;5.12;106.30;104.90;104.90
" ";" ";"2015";1125.09;1125.09;-;-;6.94;6.94;95.70;87.00;87.00;777.91;777.91;-;-;4.80;4.80;96.70;90.50;90.50
"Goriška"
" ";"SKD Dejavnost"
" ";" ";"2005";1092.65;1092.65;-;-;6.59;6.59;87.10;104.20;104.20;715.31;715.31;-;-;4.32;4.32;89.20;107.20;107.20
" ";" ";"2006";1159.07;1159.07;-;-;6.78;6.78;96.40;106.10;106.10;755.24;755.24;-;-;4.42;4.42;97.50;105.60;105.60
" ";" ";"2007";1240.50;1240.50;-;-;6.99;6.99;99.00;107.00;107.00;824.18;824.18;-;-;4.64;4.64;100.20;109.10;109.10
" ";" ";"2008";1312.59;1312.59;-;-;7.43;7.43;98.70;105.80;105.80;860.80;860.80;-;-;4.88;4.88;98.80;104.40;104.40
" ";" ";"2009";1352.38;1352.38;6.20;104.63;8.12;8.12;95.10;103.00;103.00;886.56;886.56;-;-;5.32;5.32;96.50;103.00;103.00
" ";" ";"2010";1413.38;1413.38;7.86;244.65;8.69;8.69;96.20;104.50;104.50;924.81;924.81;-;-;5.69;5.69;97.10;104.30;104.30
" ";" ";"2011";1433.62;1433.62;7.48;356.79;8.87;8.87;95.30;101.40;101.40;946.57;946.57;-;-;5.86;5.86;96.60;102.40;102.40
" ";" ";"2012";1465.07;1465.07;7.41;299.97;8.69;8.69;97.30;102.20;102.20;967.87;967.87;-;-;5.74;5.74;98.20;102.30;102.30
" ";" ";"2013";1449.09;1449.09;0.66;49.88;8.33;8.33;95.80;98.90;98.90;966.30;966.30;-;-;5.55;5.55;98.20;99.80;99.80
" ";" ";"2014";1502.12;1502.12;31.07;685.15;8.63;8.63;100.20;103.70;103.70;1023.02;1023.02;-;-;5.88;5.88;103.60;105.90;105.90
" ";" ";"2015";1482.81;1482.81;15.48;244.17;8.81;8.81;96.50;98.70;98.70;980.61;980.61;-;-;5.83;5.83;96.80;95.90;95.90
" ";"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO"
" ";" ";"2005";923.26;923.26;-;-;5.76;5.76;77.20;102.60;102.60;624.80;624.80;-;-;3.90;3.90;80.10;105.40;105.40
" ";" ";"2006";1040.06;1040.06;-;-;6.03;6.03;101.60;112.70;112.70;689.78;689.78;-;-;4.00;4.00;101.70;110.40;110.40
" ";" ";"2007";1123.16;1123.16;-;-;6.40;6.40;106.90;108.00;108.00;752.37;752.37;-;-;4.29;4.29;106.30;109.10;109.10
" ";" ";"2008";1205.54;1205.54;-;-;6.83;6.83;107.10;107.30;107.30;811.05;811.05;-;-;4.60;4.60;106.30;107.80;107.80
" ";" ";"2009";1206.41;1206.41;-;-;7.34;7.34;99.40;100.10;100.10;811.69;811.69;-;-;4.94;4.94;99.10;100.10;100.10
" ";" ";"2010";1196.80;1196.80;-;-;7.38;7.38;94.20;99.20;99.20;812.22;812.22;-;-;5.01;5.01;94.80;100.10;100.10
" ";" ";"2011";1341.69;1341.69;-;-;8.28;8.28;92.40;112.10;112.10;900.50;900.50;-;-;5.56;5.56;93.30;110.90;110.90
" ";" ";"2012";1324.74;1324.74;-;-;8.06;8.06;93.80;98.70;98.70;890.40;890.40;-;-;5.42;5.42;91.70;98.90;98.90
" ";" ";"2013";1379.24;1379.24;0.57;24.00;7.96;7.96;101.40;104.10;104.10;929.35;929.35;-;-;5.36;5.36;101.70;104.40;104.40
" ";" ";"2014";1423.26;1423.26;-;-;8.33;8.33;96.50;103.20;103.20;949.88;949.88;-;-;5.56;5.56;96.30;102.20;102.20
" ";" ";"2015";1421.04;1421.04;0.79;201.00;8.36;8.36;96.50;99.80;99.80;951.75;951.75;-;-;5.60;5.60;97.30;100.20;100.20
" ";"B RUDARSTVO"
" ";" ";"2005";z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z
" ";" ";"2006";z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z
" ";" ";"2007";z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z
" ";" ";"2008";z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z
" ";" ";"2009";z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z
" ";" ";"2010";z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z
" ";" ";"2011";1460.15;1460.15;-;-;8.81;8.81;80.20;96.60;96.60;956.93;956.93;-;-;5.78;5.78;83.30;96.40;96.40
" ";" ";"2012";z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z
" ";" ";"2013";z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z
" ";" ";"2014";z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z
" ";" ";"2015";1620.67;1620.67;-;-;9.43;9.43;91.50;102.90;102.90;1061.04;1061.04;-;-;6.18;6.18;93.60;104.00;104.00
" ";"C PREDELOVALNE DEJAVNOSTI"
" ";" ";"2005";892.71;892.71;-;-;5.35;5.35;83.60;103.20;103.20;609.85;609.85;-;-;3.66;3.66;86.40;107.10;107.10
" ";" ";"2006";998.56;998.56;-;-;5.81;5.81;95.60;111.90;111.90;674.42;674.42;-;-;3.92;3.92;97.70;110.60;110.60
" ";" ";"2007";1082.76;1082.76;-;-;6.02;6.02;103.00;108.40;108.40;742.04;742.04;-;-;4.12;4.12;105.40;110.00;110.00
" ";" ";"2008";1152.44;1152.44;-;-;6.43;6.43;97.80;106.40;106.40;766.57;766.57;-;-;4.28;4.28;97.60;103.30;103.30
" ";" ";"2009";1128.84;1128.84;11.36;87.35;6.80;6.80;92.40;98.00;98.00;759.69;759.69;-;-;4.58;4.58;95.10;99.10;99.10
" ";" ";"2010";1203.94;1203.94;10.84;393.56;7.36;7.36;94.30;106.70;106.70;804.70;804.70;-;-;4.92;4.92;95.70;105.90;105.90
" ";" ";"2011";1244.34;1244.34;-;-;7.57;7.57;94.30;103.40;103.40;838.67;838.67;-;-;5.11;5.11;95.50;104.20;104.20
" ";" ";"2012";1307.76;1307.76;5.48;715.73;7.64;7.64;97.10;105.10;105.10;879.60;879.60;-;-;5.14;5.14;98.00;104.90;104.90
" ";" ";"2013";1341.05;1341.05;0.26;1339.00;7.62;7.62;96.90;102.50;102.50;902.95;902.95;-;-;5.13;5.13;101.20;102.70;102.70
" ";" ";"2014";1461.56;1461.56;77.06;936.62;8.33;8.33;104.00;109.00;109.00;972.61;972.61;-;-;5.55;5.55;103.30;107.70;107.70
" ";" ";"2015";1394.10;1394.10;18.64;150.85;8.21;8.21;92.70;95.40;95.40;934.09;934.09;-;-;5.50;5.50;93.80;96.00;96.00
" ";"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO"
" ";" ";"2005";1381.18;1381.18;-;-;8.36;8.36;68.30;105.50;105.50;864.73;864.73;-;-;5.24;5.24;68.20;107.50;107.50
" ";" ";"2006";1439.58;1439.58;-;-;8.38;8.38;98.60;104.20;104.20;922.65;922.65;-;-;5.37;5.37;99.10;106.70;106.70
" ";" ";"2007";1490.65;1490.65;-;-;8.29;8.29;92.10;103.50;103.50;978.56;978.56;-;-;5.44;5.44;94.60;106.10;106.10
" ";" ";"2008";1596.41;1596.41;-;-;8.86;8.86;88.60;107.10;107.10;1037.51;1037.51;-;-;5.76;5.76;90.80;106.00;106.00
" ";" ";"2009";1825.35;1825.35;-;-;10.57;10.57;90.90;114.30;114.30;1169.28;1169.28;-;-;6.77;6.77;93.90;112.70;112.70
" ";" ";"2010";1885.07;1885.07;-;-;11.39;11.39;89.10;103.30;103.30;1261.46;1261.46;-;-;7.62;7.62;96.70;107.90;107.90
" ";" ";"2011";1903.88;1903.88;-;-;11.57;11.57;88.50;101.00;101.00;1216.08;1216.08;-;-;7.39;7.39;91.70;96.40;96.40
" ";" ";"2012";1948.65;1948.65;61.39;933.84;11.31;11.31;80.20;102.40;102.40;1244.33;1244.33;-;-;7.22;7.22;89.40;102.30;102.30
" ";" ";"2013";2066.27;2066.27;-;-;11.40;11.40;72.00;106.00;106.00;1316.97;1316.97;-;-;7.26;7.26;89.90;105.80;105.80
" ";" ";"2014";2068.47;2068.47;11.04;101.92;11.55;11.55;86.50;100.10;100.10;1317.37;1317.37;-;-;7.35;7.35;101.20;100.00;100.00
" ";" ";"2015";2099.77;2099.77;-;-;12.10;12.10;93.20;101.50;101.50;1336.91;1336.91;-;-;7.70;7.70;95.80;101.50;101.50
" ";"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA"
" ";" ";"2005";1148.89;1148.89;-;-;6.78;6.78;94.60;100.30;100.30;762.24;762.24;-;-;4.50;4.50;95.60;103.80;103.80
" ";" ";"2006";1241.49;1241.49;-;-;6.91;6.91;93.10;108.10;108.10;819.02;819.02;-;-;4.56;4.56;94.40;107.40;107.40
" ";" ";"2007";1320.32;1320.32;-;-;7.13;7.13;107.10;106.30;106.30;885.34;885.34;-;-;4.78;4.78;106.10;108.10;108.10
" ";" ";"2008";1410.31;1410.31;-;-;7.66;7.66;107.10;106.80;106.80;940.89;940.89;-;-;5.11;5.11;105.80;106.30;106.30
" ";" ";"2009";1448.59;1448.59;-;-;8.18;8.18;92.70;102.70;102.70;966.39;966.39;-;-;5.46;5.46;97.90;102.70;102.70
" ";" ";"2010";1474.91;1474.91;-;-;8.59;8.59;96.40;101.80;101.80;984.75;984.75;-;-;5.74;5.74;96.90;101.90;101.90
" ";" ";"2011";1441.45;1441.45;-;-;8.51;8.51;95.80;97.70;97.70;969.77;969.77;-;-;5.72;5.72;96.70;98.50;98.50
" ";" ";"2012";1496.67;1496.67;-;-;8.44;8.44;99.80;103.80;103.80;1003.17;1003.17;-;-;5.66;5.66;99.70;103.40;103.40
" ";" ";"2013";1565.64;1565.64;-;-;8.31;8.31;103.50;104.60;104.60;1049.33;1049.33;-;-;5.57;5.57;103.60;104.60;104.60
" ";" ";"2014";1562.67;1562.67;-;-;8.37;8.37;102.30;99.80;99.80;1045.67;1045.67;-;-;5.60;5.60;101.90;99.70;99.70
" ";" ";"2015";1545.57;1545.57;-;-;8.61;8.61;96.70;98.90;98.90;1036.32;1036.32;-;-;5.77;5.77;97.10;99.10;99.10
" ";"F GRADBENIŠTVO"
" ";" ";"2005";942.02;942.02;-;-;5.63;5.63;89.90;104.10;104.10;618.58;618.58;-;-;3.70;3.70;91.20;104.90;104.90
" ";" ";"2006";1069.09;1069.09;-;-;6.14;6.14;95.20;113.50;113.50;699.34;699.34;-;-;4.01;4.01;96.80;113.10;113.10
" ";" ";"2007";1185.19;1185.19;-;-;6.61;6.61;97.40;110.90;110.90;790.19;790.19;-;-;4.41;4.41;98.40;113.00;113.00
" ";" ";"2008";1263.97;1263.97;-;-;7.17;7.17;103.80;106.60;106.60;827.59;827.59;-;-;4.69;4.69;103.10;104.70;104.70
" ";" ";"2009";1201.52;1201.52;0.48;1500.00;7.39;7.39;91.70;95.10;95.10;791.30;791.30;-;-;4.86;4.86;92.20;95.60;95.60
" ";" ";"2010";1226.27;1226.27;0.94;596.00;7.53;7.53;90.50;102.10;102.10;806.44;806.44;-;-;4.95;4.95;92.40;101.90;101.90
" ";" ";"2011";1240.64;1240.64;0.45;1500.00;7.74;7.74;89.30;101.20;101.20;839.76;839.76;-;-;5.24;5.24;93.30;104.10;104.10
" ";" ";"2012";1281.72;1281.72;-;-;7.59;7.59;95.20;103.30;103.30;866.13;866.13;-;-;5.13;5.13;96.30;103.10;103.10
" ";" ";"2013";1286.45;1286.45;-;-;7.44;7.44;98.50;100.40;100.40;879.08;879.08;-;-;5.08;5.08;100.50;101.50;101.50
" ";" ";"2014";1205.96;1205.96;1.14;2200.00;7.27;7.27;101.90;93.70;93.70;816.70;816.70;-;-;4.92;4.92;103.40;92.90;92.90
" ";" ";"2015";1307.41;1307.41;45.16;749.01;7.76;7.76;102.70;108.40;108.40;855.79;855.79;-;-;5.08;5.08;99.70;104.80;104.80
" ";"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL"
" ";" ";"2005";932.17;932.17;-;-;5.63;5.63;91.20;104.70;104.70;617.47;617.47;-;-;3.73;3.73;92.50;107.20;107.20
" ";" ";"2006";991.94;991.94;-;-;5.83;5.83;95.60;106.40;106.40;656.52;656.52;-;-;3.86;3.86;96.30;106.30;106.30
" ";" ";"2007";1064.87;1064.87;-;-;6.11;6.11;93.60;107.40;107.40;715.30;715.30;-;-;4.11;4.11;94.90;109.00;109.00
" ";" ";"2008";1170.32;1170.32;-;-;6.72;6.72;97.40;109.90;109.90;774.70;774.70;-;-;4.45;4.45;97.40;108.30;108.30
" ";" ";"2009";1181.55;1181.55;7.03;602.13;6.95;6.95;93.00;101.00;101.00;785.88;785.88;-;-;4.63;4.63;94.50;101.40;101.40
" ";" ";"2010";1211.84;1211.84;30.05;1438.97;7.39;7.39;98.10;102.60;102.60;802.91;802.91;-;-;4.90;4.90;98.20;102.20;102.20
" ";" ";"2011";1247.52;1247.52;33.36;1188.28;7.67;7.67;96.60;102.90;102.90;837.80;837.80;-;-;5.15;5.15;98.50;104.30;104.30
" ";" ";"2012";1250.04;1250.04;7.05;398.46;7.44;7.44;97.60;100.20;100.20;837.09;837.09;-;-;4.98;4.98;98.20;99.90;99.90
" ";" ";"2013";1196.01;1196.01;0.88;232.31;6.91;6.91;97.40;95.70;95.70;811.06;811.06;-;-;4.69;4.69;98.00;96.90;96.90
" ";" ";"2014";1232.65;1232.65;44.23;4476.87;7.10;7.10;96.50;103.10;103.10;830.25;830.25;-;-;4.79;4.79;97.20;102.40;102.40
" ";" ";"2015";1241.30;1241.30;14.23;1031.93;7.39;7.39;95.00;100.70;100.70;834.02;834.02;-;-;4.97;4.97;95.90;100.50;100.50
" ";"H PROMET IN SKLADIŠÈENJE"
" ";" ";"2005";890.01;890.01;-;-;5.51;5.51;86.40;97.70;97.70;591.35;591.35;-;-;3.66;3.66;88.10;99.20;99.20
" ";" ";"2006";970.01;970.01;-;-;5.76;5.76;94.40;109.00;109.00;650.41;650.41;-;-;3.86;3.86;95.20;110.00;110.00
" ";" ";"2007";1031.59;1031.59;-;-;5.97;5.97;92.50;106.30;106.30;700.64;700.64;-;-;4.06;4.06;93.60;107.70;107.70
" ";" ";"2008";1149.94;1149.94;-;-;6.64;6.64;95.80;111.50;111.50;770.99;770.99;-;-;4.45;4.45;96.70;110.00;110.00
" ";" ";"2009";1171.37;1171.37;-;-;6.96;6.96;94.50;101.90;101.90;785.99;785.99;-;-;4.67;4.67;96.00;101.90;101.90
" ";" ";"2010";1251.27;1251.27;2.02;327.60;7.82;7.82;93.40;106.80;106.80;835.37;835.37;-;-;5.22;5.22;94.40;106.30;106.30
" ";" ";"2011";1287.93;1287.93;-;-;7.84;7.84;95.00;102.90;102.90;867.62;867.62;-;-;5.28;5.28;96.60;103.90;103.90
" ";" ";"2012";1422.02;1422.02;54.43;641.16;8.39;8.39;103.40;110.40;110.40;942.85;942.85;-;-;5.56;5.56;103.20;108.70;108.70
" ";" ";"2013";1341.11;1341.11;-;-;7.75;7.75;99.50;94.30;94.30;896.14;896.14;-;-;5.18;5.18;98.90;95.00;95.00
" ";" ";"2014";1383.28;1383.28;-;-;7.91;7.91;98.50;103.10;103.10;924.28;924.28;-;-;5.28;5.28;103.70;103.10;103.10
